Player,Rating,Age,G1,GS1,Cmp1,Att1,Yds1,TD1,Int2,Att2,Yds2,Y/A2,TD2,Tgt3,Rec3,Yds3,Y/R3,TD3,Fmb4,FL4,TD4,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Dallas Goedert,16.95,26.00,8.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.00,27.00,401.00,14.85,2.00,1.00,0.00,2.00,1.00,0.00,54.00,81.10,84.10,67.60,3.00,11.00,71.00
Dalvin Cook,23.97,26.00,6.00,6.00,0.00,0.00,0.00,0.00,0.00,115.00,554.00,4.82,2.00,23.00,15.00,85.00,5.67,0.00,2.00,1.00,2.00,0.00,0.00,74.00,88.90,92.90,81.40,3.00,21.00,72.00
Elijah Mitchell,11.47,23.00,6.00,5.00,0.00,0.00,0.00,0.00,0.00,89.00,469.00,5.27,3.00,9.00,9.00,73.00,8.11,0.00,0.00,0.00,3.00,0.00,0.00,72.00,81.20,84.20,76.70,1.00,22.00,73.00
Myles Gaskin,20.61,24.00,9.00,6.00,0.00,0.00,0.00,0.00,0.00,86.00,313.00,3.64,1.00,46.00,37.00,188.00,5.08,3.00,2.00,1.00,4.00,0.00,0.00,72.00,109.10,116.10,90.60,1.00,23.00,74.00
Darrel Williams,12.60,26.00,9.00,4.00,0.00,0.00,0.00,0.00,0.00,84.00,300.00,3.57,4.00,28.00,22.00,170.00,7.73,0.00,0.00,0.00,4.00,0.00,0.00,71.00,93.00,99.00,82.00,0.00,24.00,76.00
Zach Ertz,13.35,31.00,9.00,6.00,0.00,0.00,0.00,0.00,0.00,1.00,4.00,4.00,0.00,45.00,28.00,324.00,11.57,3.00,0.00,0.00,3.00,0.00,0.00,51.00,78.80,81.80,64.80,0.00,12.00,78.00
Ryan Tannehill,16.75,33.00,9.00,9.00,191.00,289.00,2145.00,11.00,8.00,25.00,168.00,6.72,4.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00,4.00,0.00,1.00,151.00,150.60,167.60,158.60,0.00,13.00,0.00
Dak Prescott,18.27,28.00,7.00,7.00,177.00,255.00,2045.00,18.00,5.00,24.00,86.00,3.58,0.00,0.00,0.00,0.00,0.00,0.00,6.00,3.00,0.00,1.00,0.00,148.00,148.40,159.40,153.40,0.00,14.00,0.00
Teddy Bridgewater,14.35,29.00,9.00,9.00,200.00,285.00,2163.00,14.00,5.00,21.00,69.00,3.29,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,145.00,145.40,154.40,150.40,0.00,15.00,0.00
Daniel Jones,10.67,24.00,9.00,9.00,190.00,293.00,2059.00,8.00,5.00,50.00,258.00,5.16,2.00,1.00,1.00,16.00,16.00,0.00,7.00,3.00,2.00,2.00,1.00,144.00,144.80,158.80,149.30,0.00,16.00,0.00
Derek Carr,14.93,30.00,8.00,8.00,210.00,312.00,2565.00,13.00,7.00,22.00,34.00,1.55,0.00,0.00,0.00,0.00,0.00,0.00,6.00,1.00,0.00,0.00,0.00,142.00,142.00,153.00,149.00,0.00,17.00,0.00
Matt Ryan,15.49,36.00,8.00,8.00,209.00,301.00,2157.00,15.00,6.00,17.00,37.00,2.18,1.00,0.00,0.00,0.00,0.00,0.00,4.00,2.00,1.00,1.00,0.00,142.00,142.00,153.00,148.00,0.00,18.00,0.00
Mac Jones,11.14,23.00,9.00,9.00,204.00,300.00,2135.00,10.00,7.00,19.00,59.00,3.11,0.00,0.00,0.00,0.00,0.00,0.00,4.00,2.00,0.00,0.00,2.00,117.00,117.30,129.30,124.30,0.00,23.00,0.00
Jameis Winston,11.25,27.00,7.00,7.00,95.00,161.00,1170.00,14.00,3.00,32.00,166.00,5.19,1.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,1.00,0.00,0.00,117.00,117.40,127.40,120.40,0.00,22.00,0.00
Josh Jacobs,17.14,23.00,6.00,6.00,0.00,0.00,0.00,0.00,0.00,73.00,280.00,3.84,5.00,20.00,18.00,129.00,7.17,0.00,0.00,0.00,5.00,0.00,0.00,71.00,88.90,94.90,79.90,0.00,25.00,0.00
Javonte Williams,17.61,21.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,466.00,4.91,1.00,26.00,22.00,135.00,6.14,1.00,1.00,1.00,2.00,0.00,0.00,70.00,92.10,99.10,81.10,0.00,26.00,0.00
Darnell Mooney,14.01,24.00,9.00,8.00,0.00,0.00,0.00,0.00,0.00,2.00,25.00,12.50,1.00,59.00,36.00,450.00,12.50,2.00,0.00,0.00,3.00,0.00,0.00,66.00,101.50,104.50,83.50,0.00,33.00,0.00
Jaylen Waddle,16.89,23.00,9.00,9.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,2.00,0.00,78.00,56.00,496.00,8.86,3.00,2.00,1.00,3.00,0.00,0.00,66.00,121.80,125.80,93.80,0.00,31.00,0.00
Chuba Hubbard,9.88,22.00,9.00,5.00,0.00,0.00,0.00,0.00,0.00,111.00,394.00,3.55,2.00,28.00,19.00,152.00,8.00,0.00,1.00,1.00,2.00,0.00,0.00,65.00,83.60,90.60,74.10,0.00,29.00,0.00
Kenyan Drake,17.61,27.00,8.00,2.00,0.00,0.00,0.00,0.00,0.00,46.00,190.00,4.13,2.00,31.00,24.00,257.00,10.71,1.00,0.00,0.00,3.00,0.00,0.00,63.00,86.70,92.70,74.70,0.00,30.00,0.00
Hunter Renfrow,15.22,26.00,8.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,45.00,448.00,9.96,3.00,2.00,0.00,3.00,0.00,0.00,63.00,107.80,110.80,85.30,0.00,35.00,0.00
David Montgomery,17.04,24.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,82.00,372.00,4.54,3.00,11.00,8.00,66.00,8.25,0.00,0.00,0.00,3.00,0.00,0.00,62.00,69.80,72.80,65.80,0.00,32.00,0.00
Van Jefferson,11.62,25.00,9.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.00,27.00,433.00,16.04,3.00,0.00,0.00,3.00,0.00,0.00,61.00,88.30,91.30,74.80,0.00,36.00,0.00
Tony Pollard,11.16,24.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,72.00,403.00,5.60,1.00,18.00,17.00,148.00,8.71,0.00,1.00,0.00,1.00,0.00,0.00,61.00,78.10,84.10,69.60,0.00,33.00,0.00
Marvin Jones,13.16,31.00,8.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,36.00,399.00,11.08,3.00,0.00,0.00,3.00,0.00,0.00,58.00,93.90,96.90,75.90,0.00,40.00,0.00
J.D. McKissic,14.59,28.00,8.00,2.00,0.00,0.00,0.00,0.00,0.00,32.00,132.00,4.13,1.00,42.00,33.00,332.00,10.06,1.00,0.00,0.00,2.00,0.00,0.00,58.00,91.40,97.40,74.90,0.00,34.00,0.00
Tyler Boyd,11.59,27.00,9.00,6.00,1.00,1.00,46.00,0.00,0.00,0.00,0.00,0.00,0.00,55.00,38.00,409.00,10.76,2.00,0.00,0.00,2.00,0.00,0.00,55.00,92.70,95.70,73.70,0.00,43.00,0.00
Marquez Callaway,12.83,23.00,8.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.00,22.00,309.00,14.05,4.00,0.00,0.00,4.00,0.00,0.00,55.00,76.90,79.90,65.90,0.00,42.00,0.00
Kenneth Gainwell,10.94,22.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,41.00,150.00,3.66,3.00,31.00,19.00,164.00,8.63,1.00,1.00,1.00,4.00,1.00,0.00,55.00,74.40,81.40,64.90,0.00,35.00,0.00
Tee Higgins,12.17,22.00,7.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.00,35.00,431.00,12.31,2.00,1.00,1.00,2.00,1.00,0.00,55.00,90.10,94.10,72.60,0.00,41.00,0.00
Christian McCaffrey,22.54,25.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,66.00,253.00,3.83,1.00,22.00,20.00,217.00,10.85,0.00,1.00,0.00,1.00,0.00,0.00,53.00,73.00,79.00,63.00,0.00,37.00,0.00
Ty Johnson,12.35,24.00,8.00,1.00,0.00,0.00,0.00,0.00,0.00,39.00,137.00,3.51,1.00,29.00,19.00,227.00,11.95,2.00,2.00,1.00,3.00,0.00,0.00,52.00,71.40,78.40,61.90,0.00,39.00,0.00
Noah Fant,18.77,24.00,8.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.00,37.00,320.00,8.65,3.00,0.00,0.00,3.00,0.00,0.00,50.00,87.00,90.00,68.50,0.00,13.00,0.00
Zach Pascal,9.94,27.00,9.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,30.00,319.00,10.63,3.00,0.00,0.00,3.00,0.00,0.00,50.00,79.90,82.90,64.90,0.00,46.00,0.00
Devin Singletary,9.47,24.00,8.00,7.00,0.00,0.00,0.00,0.00,0.00,73.00,355.00,4.86,1.00,27.00,21.00,82.00,3.90,0.00,4.00,0.00,1.00,0.00,0.00,50.00,70.70,73.70,60.20,0.00,41.00,0.00
Randall Cobb,9.80,31.00,9.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,28.00,20.00,244.00,12.20,4.00,0.00,0.00,4.00,0.00,0.00,49.00,68.50,71.50,58.50,0.00,49.00,0.00
Mike Davis,15.59,28.00,8.00,5.00,0.00,0.00,0.00,0.00,0.00,84.00,271.00,3.23,1.00,32.00,24.00,115.00,4.79,1.00,2.00,1.00,2.00,0.00,0.00,49.00,72.60,79.60,60.60,0.00,44.00,0.00
Pat Freiermuth,14.98,23.00,8.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,27.00,245.00,9.07,4.00,0.00,0.00,4.00,0.00,0.00,49.00,75.50,78.50,62.00,0.00,14.00,0.00
Jakobi Meyers,12.01,25.00,9.00,8.00,2.00,2.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,72.00,46.00,434.00,9.43,0.00,0.00,0.00,0.00,2.00,0.00,49.00,95.20,98.20,72.20,0.00,48.00,0.00
Nyheim Hines,11.98,25.00,9.00,1.00,0.00,0.00,0.00,0.00,0.00,41.00,191.00,4.66,2.00,35.00,24.00,187.00,7.79,0.00,1.00,1.00,2.00,0.00,0.00,48.00,71.80,78.80,59.80,0.00,45.00,0.00
David Njoku,12.19,25.00,9.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00,21.00,341.00,16.24,2.00,0.00,0.00,2.00,0.00,0.00,46.00,67.10,70.10,56.60,0.00,15.00,0.00
Mo Alie-Cox,10.80,28.00,9.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.00,14.00,205.00,14.64,4.00,0.00,0.00,4.00,0.00,0.00,45.00,58.50,61.50,51.50,0.00,17.00,0.00
Jared Cook,15.80,34.00,8.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.00,27.00,308.00,11.41,2.00,0.00,0.00,2.00,1.00,0.00,45.00,71.80,74.80,58.30,0.00,16.00,0.00
Tyler Higbee,17.16,28.00,9.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.00,35.00,324.00,9.26,2.00,1.00,0.00,2.00,0.00,0.00,44.00,79.40,82.40,61.90,0.00,18.00,0.00
Mecole Hardman,13.66,23.00,9.00,7.00,0.00,0.00,0.00,0.00,0.00,4.00,33.00,8.25,0.00,53.00,38.00,372.00,9.79,1.00,3.00,2.00,1.00,0.00,0.00,43.00,80.50,85.50,61.50,0.00,57.00,0.00
Elijah Moore,13.02,21.00,7.00,3.00,0.00,0.00,0.00,0.00,0.00,2.00,23.00,11.50,1.00,40.00,22.00,230.00,10.45,2.00,0.00,0.00,3.00,0.00,0.00,43.00,65.30,68.30,54.30,0.00,56.00,0.00
Sony Michel,10.05,26.00,9.00,1.00,0.00,0.00,0.00,0.00,0.00,72.00,271.00,3.76,1.00,10.00,8.00,40.00,5.00,1.00,1.00,1.00,2.00,0.00,0.00,41.00,49.10,53.10,45.10,0.00,53.00,0.00
Tyler Conklin,13.85,26.00,8.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.00,32.00,342.00,10.69,1.00,0.00,0.00,1.00,0.00,0.00,40.00,72.20,75.20,56.20,0.00,20.00,0.00
Allen Robinson,12.15,28.00,9.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,30.00,339.00,11.30,1.00,0.00,0.00,1.00,0.00,0.00,40.00,69.90,72.90,54.90,0.00,60.00,0.00
George Kittle,19.29,28.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,1.00,9.00,9.00,0.00,36.00,25.00,328.00,13.12,1.00,2.00,1.00,1.00,0.00,0.00,38.00,62.70,66.70,50.20,0.00,21.00,0.00
Brandon Aiyuk,12.30,23.00,8.00,7.00,0.00,0.00,0.00,0.00,0.00,3.00,9.00,3.00,0.00,31.00,19.00,230.00,12.11,2.00,1.00,1.00,2.00,1.00,0.00,36.00,54.90,58.90,45.40,0.00,68.00,0.00
Giovani Bernard,9.25,30.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,51.00,8.50,0.00,23.00,20.00,109.00,5.45,3.00,1.00,0.00,3.00,0.00,0.00,34.00,54.00,57.00,44.00,0.00,58.00,0.00
Julio Jones,9.81,32.00,6.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,21.00,336.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,34.00,54.60,57.60,44.10,0.00,72.00,0.00
Jamison Crowder,9.36,28.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.00,28.00,241.00,8.61,1.00,1.00,1.00,1.00,1.00,1.00,32.00,60.10,64.10,46.10,0.00,75.00,0.00
Evan Engram,11.59,27.00,7.00,6.00,0.00,0.00,0.00,0.00,0.00,1.00,-3.00,-3.00,0.00,36.00,26.00,224.00,8.62,2.00,1.00,1.00,2.00,0.00,0.00,32.00,58.10,62.10,45.10,0.00,23.00,0.00
Ricky Seals-Jones,9.87,26.00,8.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,20.00,200.00,10.00,2.00,0.00,0.00,2.00,0.00,0.00,32.00,52.00,55.00,42.00,0.00,24.00,0.00
Robert Tonyan,11.62,27.00,8.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.00,18.00,204.00,11.33,2.00,0.00,0.00,2.00,0.00,0.00,32.00,50.40,53.40,41.40,0.00,22.00,0.00
Jordan Howard,9.50,27.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,29.00,128.00,4.41,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,31.00,30.80,33.80,30.80,0.00,63.00,0.00
