,Age,G1,GS1,Cmp1,Att1,Yds1,TD1,Int2,Att2,Yds2,Y/A2,TD2,Tgt3,Rec3,Yds3,Y/R3,TD3,Fmb4,FL4,TD4,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Rating,Class
54,26.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,27.0,401.0,14.85,2.0,1.0,0.0,2.0,1.0,0.0,54.0,81.1,84.1,67.6,3.0,11.0,71.0,16.95,2
55,26.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,115.0,554.0,4.82,2.0,23.0,15.0,85.0,5.67,0.0,2.0,1.0,2.0,0.0,0.0,74.0,88.9,92.9,81.4,3.0,21.0,72.0,23.97,2
56,23.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,89.0,469.0,5.27,3.0,9.0,9.0,73.0,8.11,0.0,0.0,0.0,3.0,0.0,0.0,72.0,81.2,84.2,76.7,1.0,22.0,73.0,11.47,2
57,24.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,86.0,313.0,3.64,1.0,46.0,37.0,188.0,5.08,3.0,2.0,1.0,4.0,0.0,0.0,72.0,109.1,116.1,90.6,1.0,23.0,74.0,20.61,2
58,26.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,84.0,300.0,3.57,4.0,28.0,22.0,170.0,7.73,0.0,0.0,0.0,4.0,0.0,0.0,71.0,93.0,99.0,82.0,0.0,24.0,76.0,12.6,2
59,31.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,45.0,28.0,324.0,11.57,3.0,0.0,0.0,3.0,0.0,0.0,51.0,78.8,81.8,64.8,0.0,12.0,78.0,13.35,2
60,33.0,9.0,9.0,191.0,289.0,2145.0,11.0,8.0,25.0,168.0,6.72,4.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,0.0,1.0,151.0,150.6,167.6,158.6,0.0,13.0,0.0,16.75,3
61,28.0,7.0,7.0,177.0,255.0,2045.0,18.0,5.0,24.0,86.0,3.58,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,1.0,0.0,148.0,148.4,159.4,153.4,0.0,14.0,0.0,18.27,3
62,29.0,9.0,9.0,200.0,285.0,2163.0,14.0,5.0,21.0,69.0,3.29,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,145.0,145.4,154.4,150.4,0.0,15.0,0.0,14.35,3
63,24.0,9.0,9.0,190.0,293.0,2059.0,8.0,5.0,50.0,258.0,5.16,2.0,1.0,1.0,16.0,16.0,0.0,7.0,3.0,2.0,2.0,1.0,144.0,144.8,158.8,149.3,0.0,16.0,0.0,10.67,3
64,30.0,8.0,8.0,210.0,312.0,2565.0,13.0,7.0,22.0,34.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,142.0,142.0,153.0,149.0,0.0,17.0,0.0,14.93,3
65,36.0,8.0,8.0,209.0,301.0,2157.0,15.0,6.0,17.0,37.0,2.18,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,142.0,142.0,153.0,148.0,0.0,18.0,0.0,15.49,3
66,23.0,9.0,9.0,204.0,300.0,2135.0,10.0,7.0,19.0,59.0,3.11,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,117.0,117.3,129.3,124.3,0.0,23.0,0.0,11.14,3
67,27.0,7.0,7.0,95.0,161.0,1170.0,14.0,3.0,32.0,166.0,5.19,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,117.0,117.4,127.4,120.4,0.0,22.0,0.0,11.25,3
68,23.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,73.0,280.0,3.84,5.0,20.0,18.0,129.0,7.17,0.0,0.0,0.0,5.0,0.0,0.0,71.0,88.9,94.9,79.9,0.0,25.0,0.0,17.14,2
69,21.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,466.0,4.91,1.0,26.0,22.0,135.0,6.14,1.0,1.0,1.0,2.0,0.0,0.0,70.0,92.1,99.1,81.1,0.0,26.0,0.0,17.61,2
70,24.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,12.5,1.0,59.0,36.0,450.0,12.5,2.0,0.0,0.0,3.0,0.0,0.0,66.0,101.5,104.5,83.5,0.0,33.0,0.0,14.01,2
71,23.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,78.0,56.0,496.0,8.86,3.0,2.0,1.0,3.0,0.0,0.0,66.0,121.8,125.8,93.8,0.0,31.0,0.0,16.89,0
72,22.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,111.0,394.0,3.55,2.0,28.0,19.0,152.0,8.0,0.0,1.0,1.0,2.0,0.0,0.0,65.0,83.6,90.6,74.1,0.0,29.0,0.0,9.88,2
73,27.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,46.0,190.0,4.13,2.0,31.0,24.0,257.0,10.71,1.0,0.0,0.0,3.0,0.0,0.0,63.0,86.7,92.7,74.7,0.0,30.0,0.0,17.61,2
74,26.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,45.0,448.0,9.96,3.0,2.0,0.0,3.0,0.0,0.0,63.0,107.8,110.8,85.3,0.0,35.0,0.0,15.22,2
75,24.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,82.0,372.0,4.54,3.0,11.0,8.0,66.0,8.25,0.0,0.0,0.0,3.0,0.0,0.0,62.0,69.8,72.8,65.8,0.0,32.0,0.0,17.04,2
76,25.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,27.0,433.0,16.04,3.0,0.0,0.0,3.0,0.0,0.0,61.0,88.3,91.3,74.8,0.0,36.0,0.0,11.62,2
77,24.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,403.0,5.6,1.0,18.0,17.0,148.0,8.71,0.0,1.0,0.0,1.0,0.0,0.0,61.0,78.1,84.1,69.6,0.0,33.0,0.0,11.16,2
78,31.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,36.0,399.0,11.08,3.0,0.0,0.0,3.0,0.0,0.0,58.0,93.9,96.9,75.9,0.0,40.0,0.0,13.16,2
79,28.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,32.0,132.0,4.13,1.0,42.0,33.0,332.0,10.06,1.0,0.0,0.0,2.0,0.0,0.0,58.0,91.4,97.4,74.9,0.0,34.0,0.0,14.59,2
80,27.0,9.0,6.0,1.0,1.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,38.0,409.0,10.76,2.0,0.0,0.0,2.0,0.0,0.0,55.0,92.7,95.7,73.7,0.0,43.0,0.0,11.59,2
81,23.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,22.0,309.0,14.05,4.0,0.0,0.0,4.0,0.0,0.0,55.0,76.9,79.9,65.9,0.0,42.0,0.0,12.83,2
82,22.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,150.0,3.66,3.0,31.0,19.0,164.0,8.63,1.0,1.0,1.0,4.0,1.0,0.0,55.0,74.4,81.4,64.9,0.0,35.0,0.0,10.94,2
83,22.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,35.0,431.0,12.31,2.0,1.0,1.0,2.0,1.0,0.0,55.0,90.1,94.1,72.6,0.0,41.0,0.0,12.17,2
84,25.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,66.0,253.0,3.83,1.0,22.0,20.0,217.0,10.85,0.0,1.0,0.0,1.0,0.0,0.0,53.0,73.0,79.0,63.0,0.0,37.0,0.0,22.54,2
85,24.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,39.0,137.0,3.51,1.0,29.0,19.0,227.0,11.95,2.0,2.0,1.0,3.0,0.0,0.0,52.0,71.4,78.4,61.9,0.0,39.0,0.0,12.35,2
86,24.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,37.0,320.0,8.65,3.0,0.0,0.0,3.0,0.0,0.0,50.0,87.0,90.0,68.5,0.0,13.0,0.0,18.77,2
87,27.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,30.0,319.0,10.63,3.0,0.0,0.0,3.0,0.0,0.0,50.0,79.9,82.9,64.9,0.0,46.0,0.0,9.94,2
88,24.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,73.0,355.0,4.86,1.0,27.0,21.0,82.0,3.9,0.0,4.0,0.0,1.0,0.0,0.0,50.0,70.7,73.7,60.2,0.0,41.0,0.0,9.47,2
89,31.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,28.0,20.0,244.0,12.2,4.0,0.0,0.0,4.0,0.0,0.0,49.0,68.5,71.5,58.5,0.0,49.0,0.0,9.8,2
90,28.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,84.0,271.0,3.23,1.0,32.0,24.0,115.0,4.79,1.0,2.0,1.0,2.0,0.0,0.0,49.0,72.6,79.6,60.6,0.0,44.0,0.0,15.59,2
91,23.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,27.0,245.0,9.07,4.0,0.0,0.0,4.0,0.0,0.0,49.0,75.5,78.5,62.0,0.0,14.0,0.0,14.98,2
92,25.0,9.0,8.0,2.0,2.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,46.0,434.0,9.43,0.0,0.0,0.0,0.0,2.0,0.0,49.0,95.2,98.2,72.2,0.0,48.0,0.0,12.01,2
93,25.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,41.0,191.0,4.66,2.0,35.0,24.0,187.0,7.79,0.0,1.0,1.0,2.0,0.0,0.0,48.0,71.8,78.8,59.8,0.0,45.0,0.0,11.98,2
94,25.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,21.0,341.0,16.24,2.0,0.0,0.0,2.0,0.0,0.0,46.0,67.1,70.1,56.6,0.0,15.0,0.0,12.19,2
95,28.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,14.0,205.0,14.64,4.0,0.0,0.0,4.0,0.0,0.0,45.0,58.5,61.5,51.5,0.0,17.0,0.0,10.8,2
96,34.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,27.0,308.0,11.41,2.0,0.0,0.0,2.0,1.0,0.0,45.0,71.8,74.8,58.3,0.0,16.0,0.0,15.8,2
97,28.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,35.0,324.0,9.26,2.0,1.0,0.0,2.0,0.0,0.0,44.0,79.4,82.4,61.9,0.0,18.0,0.0,17.16,2
98,23.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,33.0,8.25,0.0,53.0,38.0,372.0,9.79,1.0,3.0,2.0,1.0,0.0,0.0,43.0,80.5,85.5,61.5,0.0,57.0,0.0,13.66,2
99,21.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0,11.5,1.0,40.0,22.0,230.0,10.45,2.0,0.0,0.0,3.0,0.0,0.0,43.0,65.3,68.3,54.3,0.0,56.0,0.0,13.02,2
100,26.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,72.0,271.0,3.76,1.0,10.0,8.0,40.0,5.0,1.0,1.0,1.0,2.0,0.0,0.0,41.0,49.1,53.1,45.1,0.0,53.0,0.0,10.05,2
101,26.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,32.0,342.0,10.69,1.0,0.0,0.0,1.0,0.0,0.0,40.0,72.2,75.2,56.2,0.0,20.0,0.0,13.85,2
102,28.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,30.0,339.0,11.3,1.0,0.0,0.0,1.0,0.0,0.0,40.0,69.9,72.9,54.9,0.0,60.0,0.0,12.15,2
103,28.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,0.0,36.0,25.0,328.0,13.12,1.0,2.0,1.0,1.0,0.0,0.0,38.0,62.7,66.7,50.2,0.0,21.0,0.0,19.29,2
104,23.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,3.0,0.0,31.0,19.0,230.0,12.11,2.0,1.0,1.0,2.0,1.0,0.0,36.0,54.9,58.9,45.4,0.0,68.0,0.0,12.3,2
105,30.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,51.0,8.5,0.0,23.0,20.0,109.0,5.45,3.0,1.0,0.0,3.0,0.0,0.0,34.0,54.0,57.0,44.0,0.0,58.0,0.0,9.25,2
106,32.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,21.0,336.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,54.6,57.6,44.1,0.0,72.0,0.0,9.81,2
107,28.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,28.0,241.0,8.61,1.0,1.0,1.0,1.0,1.0,1.0,32.0,60.1,64.1,46.1,0.0,75.0,0.0,9.36,2
108,27.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.0,-3.0,0.0,36.0,26.0,224.0,8.62,2.0,1.0,1.0,2.0,0.0,0.0,32.0,58.1,62.1,45.1,0.0,23.0,0.0,11.59,2
109,26.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,20.0,200.0,10.0,2.0,0.0,0.0,2.0,0.0,0.0,32.0,52.0,55.0,42.0,0.0,24.0,0.0,9.87,2
110,27.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,18.0,204.0,11.33,2.0,0.0,0.0,2.0,0.0,0.0,32.0,50.4,53.4,41.4,0.0,22.0,0.0,11.62,2
111,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,128.0,4.41,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,31.0,30.8,33.8,30.8,0.0,63.0,0.0,9.5,2
